Dept_name,metric_code,Store_id,Subdept,metric_date,metric_value
Dairy,SYSTEM_ON,1,4A,2024-01-01,1.0
Bakery,REVENUE_USD,1,4A,2024-01-01,3648.94
Dairy,SYSTEM_ON,1,10A,2024-01-01,1.0
Dairy,CUST_COUNT,1,4A,2024-01-01,1155.36
Bakery,CUST_COUNT,1,10A,2024-01-01,1240.9
Grocery,WASTE_LBS,1,4A,2024-01-01,15.3
Deli,CUST_COUNT,1,15B,2024-01-01,1241.92
Grocery,CUST_COUNT,1,15B,2024-01-01,1486.2
Meat,WASTE_LBS,1,4A,2024-01-01,22.02
Seafood,SYSTEM_ON,2,30C,2024-01-01,1.0
Seafood,WASTE_LBS,2,30C,2024-01-01,13.35
Dairy,WASTE_LBS,2,20A,2024-01-01,17.95
Seafood,CUST_COUNT,2,10A,2024-01-01,1509.75
Bakery,CUST_COUNT,2,15B,2024-01-01,1333.09
Deli,UNITS_SOLD,2,30C,2024-01-01,569.53
Seafood,UNITS_SOLD,2,20A,2024-01-01,489.64
Meat,WASTE_LBS,2,30C,2024-01-01,24.49
Dairy,UNITS_SOLD,3,15B,2024-01-01,690.61
Grocery,REVENUE_USD,3,20A,2024-01-01,1917.78
Meat,CUST_COUNT,3,15B,2024-01-01,1462.17
Produce,SYSTEM_ON,3,20A,2024-01-01,1.0
Produce,CUST_COUNT,3,20A,2024-01-01,973.11
Grocery,SYSTEM_ON,3,4A,2024-01-01,1.0
Dairy,WASTE_LBS,3,15B,2024-01-01,2.06
Bakery,CUST_COUNT,3,20A,2024-01-01,1636.49
Seafood,WASTE_LBS,3,20A,2024-01-01,22.3
Meat,REVENUE_USD,3,30C,2024-01-01,7032.79
Produce,SYSTEM_ON,3,15B,2024-01-01,1.0
Bakery,REVENUE_USD,3,20A,2024-01-01,4332.37
Grocery,SYSTEM_ON,3,20A,2024-01-01,1.0
Dairy,SYSTEM_ON,3,30C,2024-01-01,1.0
Dairy,CUST_COUNT,3,10A,2024-01-01,1865.95
Grocery,CUST_COUNT,3,4A,2024-01-01,1029.5
Seafood,CUST_COUNT,3,15B,2024-01-01,1881.64
Meat,WASTE_LBS,4,20A,2024-01-01,3.56
Meat,SYSTEM_ON,4,15B,2024-01-01,1.0
Seafood,UNITS_SOLD,4,4A,2024-01-01,455.95
Grocery,WASTE_LBS,4,15B,2024-01-01,14.45
Deli,SYSTEM_ON,4,15B,2024-01-01,1.0
Produce,WASTE_LBS,4,30C,2024-01-01,24.89
Produce,UNITS_SOLD,4,30C,2024-01-01,445.1
Seafood,UNITS_SOLD,4,4A,2024-01-01,579.83
Deli,UNITS_SOLD,4,15B,2024-01-01,282.69
Dairy,UNITS_SOLD,4,15B,2024-01-01,649.96
Deli,UNITS_SOLD,5,10A,2024-01-01,512.36
Grocery,WASTE_LBS,5,4A,2024-01-01,31.98
Meat,REVENUE_USD,5,30C,2024-01-01,3315.62
Deli,SYSTEM_ON,5,10A,2024-01-01,1.0
Produce,REVENUE_USD,5,20A,2024-01-01,4330.3
Deli,REVENUE_USD,5,30C,2024-01-01,6889.76
Grocery,UNITS_SOLD,5,20A,2024-01-01,565.89
Seafood,REVENUE_USD,5,15B,2024-01-01,4190.29
Meat,UNITS_SOLD,5,30C,2024-01-01,569.75
Grocery,SYSTEM_ON,5,30C,2024-01-01,1.0
Seafood,SYSTEM_ON,5,20A,2024-01-01,1.0
